Game ID,Home Team,Away Team,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Player ID
,,,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,
202411150ATL,ATL,WAS,Carlton Carrington,37:02,3,8,.375,1,4,.250,0,2,.000,2,3,5,9,1,0,0,5,7,9.4,-8,carrica01
202411150ATL,ATL,WAS,Alex Sarr,31:07,7,13,.538,3,4,.750,3,4,.750,4,3,7,2,4,3,2,4,20,20.9,+10,sarral01
202411150ATL,ATL,WAS,Kyle Kuzma,29:00,11,28,.393,2,11,.182,0,0,,0,9,9,1,0,1,4,2,24,8.1,-2,kuzmaky01
202411150ATL,ATL,WAS,Jordan Poole,28:46,6,14,.429,4,9,.444,6,7,.857,0,5,5,5,2,0,3,5,22,16.2,-7,poolejo01
202411150ATL,ATL,WAS,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,kispeco01
202411150ATL,ATL,WAS,Corey Kispert,31:55,6,13,.462,4,8,.500,0,0,,0,5,5,2,1,0,1,1,16,11.8,-9,georgky01
202411150ATL,ATL,WAS,Kyshawn George,20:17,4,12,.333,1,6,.167,4,4,1.000,1,4,5,4,0,0,1,1,13,9.5,-9,valanjo01
202411150ATL,ATL,WAS,Jonas ValanÄiÅ«nas,16:53,2,5,.400,0,0,,2,2,1.000,2,3,5,0,0,0,2,1,6,3.2,-22,davisjo06
202411150ATL,ATL,WAS,Johnny Davis,6:44,0,2,.000,0,0,,0,0,,0,2,2,0,1,1,0,0,0,0.9,-3,baglema01
202411150ATL,ATL,WAS,Marvin Bagley III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,baldwpa01
202411150ATL,ATL,WAS,Patrick Baldwin Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,butleja02
202411150ATL,ATL,WAS,Jared Butler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gillan01
202411150ATL,ATL,WAS,Anthony Gill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,holmeri01
202411150ATL,ATL,WAS,Richaun Holmes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,
202411150ATL,ATL,WAS,Dyson Daniels,35:36,10,14,.714,2,5,.400,3,3,1.000,2,2,4,3,6,2,1,1,25,29.3,+1,daniedy01
202411150ATL,ATL,WAS,Jalen Johnson,34:52,8,15,.533,1,5,.200,1,1,1.000,2,11,13,7,0,4,3,3,18,18.9,+7,johnsja05
202411150ATL,ATL,WAS,Trae Young,33:07,5,18,.278,4,9,.444,4,4,1.000,0,2,2,9,0,0,6,3,18,7.1,+2,youngtr01
202411150ATL,ATL,WAS,Zaccharie Risacher,27:14,4,12,.333,0,4,.000,3,4,.750,0,2,2,2,0,0,1,1,11,4.4,+7,risacza01
202411150ATL,ATL,WAS,Clint Capela,22:03,4,8,.500,0,0,,2,4,.500,6,7,13,1,0,0,1,3,10,10.0,+3,capelca01
202411150ATL,ATL,WAS,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,okongon01
202411150ATL,ATL,WAS,Onyeka Okongwu,25:57,5,9,.556,0,2,.000,3,3,1.000,4,9,13,0,2,2,3,2,13,13.8,+9,huntede01
202411150ATL,ATL,WAS,De'Andre Hunter,20:52,7,13,.538,3,5,.600,5,7,.714,0,3,3,1,0,0,1,3,22,14.3,+3,wallake01
202411150ATL,ATL,WAS,Keaton Wallace,14:46,0,1,.000,0,0,,0,0,,1,2,3,2,1,1,0,0,0,3.7,+12,nancela02
202411150ATL,ATL,WAS,Larry Nance Jr.,13:08,0,2,.000,0,2,.000,0,0,,0,2,2,1,1,0,0,0,0,0.9,+5,mathega01
202411150ATL,ATL,WAS,Garrison Mathews,12:24,3,6,.500,2,5,.400,4,4,1.000,0,0,0,2,0,1,0,1,12,10.7,+11,gueyemo02
202411150ATL,ATL,WAS,Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
202411150ATL,ATL,WAS,David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,
202411150CLE,CLE,CHI,Zach LaVine,37:08,4,16,.250,0,3,.000,0,0,,0,4,4,9,0,1,1,5,8,3.6,-5,lavinza01
202411150CLE,CLE,CHI,Patrick Williams,34:21,5,7,.714,4,5,.800,3,4,.750,1,2,3,9,1,1,3,1,17,19.6,-4,willipa01
202411150CLE,CLE,CHI,Nikola VuÄeviÄ,32:59,11,16,.688,2,4,.500,1,1,1.000,0,8,8,2,0,0,2,1,25,19.6,-13,vucevni01
202411150CLE,CLE,CHI,Coby White,29:53,8,15,.533,6,11,.545,7,7,1.000,0,1,1,3,2,0,4,3,29,20.9,-11,whiteco01
202411150CLE,CLE,CHI,Josh Giddey,15:11,2,9,.222,1,5,.200,0,0,,0,3,3,1,1,0,0,4,5,0.5,-27,giddejo01
202411150CLE,CLE,CHI,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,dosunay01
202411150CLE,CLE,CHI,Ayo Dosunmu,26:13,6,9,.667,2,3,.667,1,2,.500,1,4,5,4,1,1,2,5,15,13.1,-17,phillju01
202411150CLE,CLE,CHI,Julian Phillips,21:08,1,5,.200,1,5,.200,1,2,.500,0,6,6,1,1,0,1,1,4,2.6,-6,terryda01
