PlayerID,Player,Team,TeamID
jemistr01,Trey Jemison,New Orleans Pelicans,NOP
jenkida01,Daniss Jenkins,Detroit Pistons,DET
jeromty01,Ty Jerome,Cleveland Cavaliers,CLE
joeis01,Isaiah Joe,Oklahoma City Thunder,OKC
johnsaj01,AJ Johnson,Milwaukee Bucks,MIL
johnsca02,Cameron Johnson,Brooklyn Nets,BRK
johnsja01,James Johnson,Indiana Pacers,IND
johnsja05,Jalen Johnson,Atlanta Hawks,ATL
johnske04,Keldon Johnson,San Antonio Spurs,SAS
johnske07,Keon Johnson,Brooklyn Nets,BRK
jokicni01,Nikola Jokic,Denver Nuggets,DEN
jonesco02,Colby Jones,Sacramento Kings,SAC
jonesde02,Derrick Jones Jr.,Los Angeles Clippers,LAC
jonesdi01,Dillon Jones,Oklahoma City Thunder,OKC
joneshe01,Herbert Jones,New Orleans Pelicans,NOP
jonesis01,Isaac Jones,Sacramento Kings,SAC
joneska01,Kai Jones,Los Angeles Clippers,LAC
jonesma05,Mason Jones,Sacramento Kings,SAC
jonessp01,Spencer Jones,Denver Nuggets,DEN
jonestr01,Tre Jones,San Antonio Spurs,SAS
jonesty01,Tyus Jones,Phoenix Suns,PHO
jordade01,DeAndre Jordan,Denver Nuggets,DEN
josepco01,Cory Joseph,Orlando Magic,ORL
jovicni01,Nikola Jovic,Miami Heat,MIA
juzanjo01,Johnny Juzang,Utah Jazz,UTA
kawamyu01,Yuki Kawamura,Memphis Grizzlies,MEM
kennalu01,Luke Kennard,Memphis Grizzlies,MEM
kesslwa01,Walker Kessler,Utah Jazz,UTA
kispeco01,Corey Kispert,Washington Wizards,WAS
klebima01,Maxi Kleber,Dallas Mavericks,DAL
knechda01,Dalton Knecht,Los Angeles Lakers,LAL
kolekty01,Tyler Kolek,New York Knicks,NYK
kolokch01,Christian Koloko,Los Angeles Lakers,LAL
konchjo01,John Konchar,Memphis Grizzlies,MEM
kornelu01,Luke Kornet,Boston Celtics,BOS
krejcvi01,Vit Krejci,Atlanta Hawks,ATL
kuminjo01,Jonathan Kuminga,Golden State Warriors,GSW
kuzmaky01,Kyle Kuzma,Washington Wizards,WAS
landajo01,Jock Landale,Houston Rockets,HOU
laravja01,Jake LaRavia,Memphis Grizzlies,MEM
larsspe01,Pelle Larsson,Miami Heat,MIA
lavinza01,Zach LaVine,Chicago Bulls,CHI
leeda03,Damion Lee,Phoenix Suns,PHO
lenal01,Alex Len,Sacramento Kings,SAC
leonsma01,Malevy Leons,Oklahoma City Thunder,OKC
leverca01,Caris LeVert,Cleveland Cavaliers,CLE
lewisma05,Maxwell Lewis,Los Angeles Lakers,LAL
liddeej01,E.J. Liddell,Chicago Bulls,CHI
lillada01,Damian Lillard,Milwaukee Bucks,MIL
livelde01,Dereck Lively II,Dallas Mavericks,DAL
livinch01,Chris Livingston,Milwaukee Bucks,MIL
looneke01,Kevon Looney,Golden State Warriors,GSW
lopezbr01,Brook Lopez,Milwaukee Bucks,MIL
loveke01,Kevin Love,Miami Heat,MIA
lowryky01,Kyle Lowry,Philadelphia 76ers,PHI
lylestr01,Trey Lyles,Sacramento Kings,SAC
mamuksa01,Sandro Mamukelashvili,San Antonio Spurs,SAS
mannte01,Terance Mann,Los Angeles Clippers,LAC
manntr01,Tre Mann,Charlotte Hornets,CHO
markkla01,Lauri Markkanen,Utah Jazz,UTA
marshna01,Naji Marshall,Dallas Mavericks,DAL
martica02,Caleb Martin,Philadelphia 76ers,PHI
martico01,Cody Martin,Charlotte Hornets,CHO
martija02,Jaylen Martin,Brooklyn Nets,BRK
martike04,KJ Martin,Philadelphia 76ers,PHI
martity01,Tyrese Martin,Brooklyn Nets,BRK
mathega01,Garrison Mathews,Atlanta Hawks,ATL
mathube01,Bennedict Mathurin,Indiana Pacers,IND
matkoka01,Karlo Matkovic,New Orleans Pelicans,NOP
maxeyty01,Tyrese Maxey,Philadelphia 76ers,PHI
mcbrimi01,Miles McBride,New York Knicks,NYK
