id,adjusted_odds,board_time,description,line_score,odds_type,projection_type,rank,start_time,stat_display_name,status,today,updated_at,duration_id,league_id,player_id,projection_type_id,stat_type_id
3443630,,2024-12-05T22:10:00-05:00,PHI,1.5,standard,Single Stat,60,2024-12-06T19:10:00-05:00,3-PT Made,pre_game,True,2024-12-06T11:19:45-05:00,11,7,216717,2,31
3443728,,2024-12-05T22:10:00-05:00,PHI,10.5,standard,Single Stat,60,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T08:22:51-05:00,11,7,216717,2,244
3443545,,2024-12-05T22:10:00-05:00,PHI,8.0,standard,Single Stat,60,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T11:12:13-05:00,11,7,216717,2,19
3443712,,2024-12-05T22:10:00-05:00,PHI,11.0,standard,Single Stat,60,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T08:20:18-05:00,11,7,216717,2,243
3443854,,2024-12-05T22:10:00-05:00,PHI,1.5,standard,Single Stat,60,2024-12-06T19:10:00-05:00,Blks+Stls,pre_game,True,2024-12-06T00:01:32-05:00,11,7,216717,2,105
3443660,,2024-12-05T22:10:00-05:00,PHI,12.5,standard,Single Stat,60,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:08:19-05:00,11,7,216717,2,106
3443661,,2024-12-05T22:10:00-05:00,PHI,19.5,standard,Single Stat,62,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:07:57-05:00,11,7,37615,2,106
3443713,,2024-12-05T22:10:00-05:00,PHI,18.5,standard,Single Stat,62,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T08:19:29-05:00,11,7,37615,2,243
3443546,,2024-12-05T22:10:00-05:00,PHI,12.5,standard,Single Stat,62,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T08:14:12-05:00,11,7,37615,2,19
3443729,,2024-12-05T22:10:00-05:00,PHI,14.5,standard,Single Stat,62,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T08:22:16-05:00,11,7,37615,2,244
3443547,,2024-12-05T22:10:00-05:00,PHI,5.0,standard,Single Stat,64,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T11:13:14-05:00,11,7,218628,2,19
3443714,,2024-12-05T22:10:00-05:00,PHI,7.5,standard,Single Stat,64,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T08:20:26-05:00,11,7,218628,2,243
3443592,,2024-12-05T22:10:00-05:00,PHI,2.5,standard,Single Stat,64,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T08:13:31-05:00,11,7,218628,2,22
3443631,,2024-12-05T22:10:00-05:00,PHI,0.5,standard,Single Stat,64,2024-12-06T19:10:00-05:00,3-PT Made,pre_game,True,2024-12-06T08:16:12-05:00,11,7,218628,2,31
3443785,,2024-12-05T22:10:00-05:00,PHI,3.5,standard,Single Stat,64,2024-12-06T19:10:00-05:00,Rebs+Asts,pre_game,True,2024-12-06T00:02:09-05:00,11,7,218628,2,245
