Player,PlayerID,Age,TeamID,GP,PTS,REB,AST,STL,BLK,TOV,PF,OffREB,DefREB,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,2P,2PA,2P%,PTS_GP,REB_GP,AST_GP,STL_GP,BLK_GP,MP_GP
Jonas Valanciunas,valanjo01,32,WAS,19,229,147,40,8,13,31,33,44,103,379,91,157,58,2,8,25,45,49,91.8,89,149,59.7,12.05263158,7.736842105,2.105263158,0.421052632,0.684210526,19.94736842
Brandon Boston,bostobr01,23,NOP,19,228,74,70,30,4,31,34,15,59,541,83,198,41.9,24,77,31.2,38,44,86.4,59,121,48.8,12,3.894736842,3.684210526,1.578947368,0.210526316,28.47368421
Terry Rozier,roziete01,30,MIA,18,228,63,57,11,6,31,28,10,53,528,80,195,41,37,102,36.3,31,35,88.6,43,93,46.2,12.66666667,3.5,3.166666667,0.611111111,0.333333333,29.33333333
De'Andre Hunter,huntede01,27,ATL,12,224,50,15,10,2,15,31,7,43,330,73,151,48.3,29,71,40.8,49,54,90.7,44,80,55,18.66666667,4.166666667,1.25,0.833333333,0.166666667,27.5
Russell Westbrook,westbru01,36,DEN,19,223,74,114,27,11,45,46,15,59,466,74,192,38.5,26,72,36.1,49,73,67.1,48,120,40,11.73684211,3.894736842,6,1.421052632,0.578947368,24.52631579
Deandre Ayton,aytonde01,26,POR,15,222,147,20,13,10,27,32,41,106,461,102,181,56.4,5,17,29.4,13,19,68.4,97,164,59.1,14.8,9.8,1.333333333,0.866666667,0.666666667,30.73333333
Rudy Gobert,goberru01,32,MIN,21,222,233,44,14,31,34,61,72,161,715,83,126,65.9,0,0,0,56,71,78.9,83,126,65.9,10.57142857,11.0952381,2.095238095,0.666666667,1.476190476,34.04761905
Jrue Holiday,holidjr01,34,BOS,19,222,80,75,15,6,31,26,20,60,592,80,179,44.7,32,96,33.3,30,33,90.9,48,83,57.8,11.68421053,4.210526316,3.947368421,0.789473684,0.315789474,31.15789474
Bilal Coulibaly,coulibi01,20,WAS,18,221,98,52,24,11,33,45,28,70,628,80,171,46.8,17,56,30.4,44,58,75.9,63,115,54.8,12.27777778,5.444444444,2.888888889,1.333333333,0.611111111,34.88888889
Chris Boucher,bouchch01,32,TOR,22,219,97,14,12,17,14,27,26,71,396,80,170,47.1,24,84,28.6,35,47,74.5,56,86,65.1,9.954545455,4.409090909,0.636363636,0.545454545,0.772727273,18
P.J. Washington,washipj01,26,DAL,17,218,146,44,24,20,29,38,28,118,560,82,176,46.6,25,65,38.5,29,40,72.5,57,111,51.4,12.82352941,8.588235294,2.588235294,1.411764706,1.176470588,32.94117647
Chris Paul,paulch01,39,SAS,21,216,78,173,30,5,38,40,9,69,604,73,168,43.5,39,109,35.8,31,31,100,34,59,57.6,10.28571429,3.714285714,8.238095238,1.428571429,0.238095238,28.76190476
Desmond Bane,banede01,26,MEM,15,214,92,58,13,8,33,42,12,80,416,81,190,42.6,27,87,31,25,32,78.1,54,103,52.4,14.26666667,6.133333333,3.866666667,0.866666667,0.533333333,27.73333333
Obi Toppin,toppiob01,26,IND,22,214,81,36,13,9,16,29,17,64,439,86,161,53.4,22,72,30.6,20,23,87,64,89,71.9,9.727272727,3.681818182,1.636363636,0.590909091,0.409090909,19.95454545
Bradley Beal,bealbr01,31,PHO,12,210,50,39,14,9,20,31,6,44,398,79,159,49.7,28,71,39.4,24,30,80,51,88,58,17.5,4.166666667,3.25,1.166666667,0.75,33.16666667
Jaden McDaniels,mcdanja02,24,MIN,21,208,78,37,23,17,24,65,24,54,625,83,187,44.4,24,80,30,18,26,69.2,59,107,55.1,9.904761905,3.714285714,1.761904762,1.095238095,0.80952381,29.76190476
Toumani Camara,camarto01,24,POR,22,207,114,49,32,8,35,65,49,65,681,77,181,42.5,36,92,39.1,17,25,68,41,89,46.1,9.409090909,5.181818182,2.227272727,1.454545455,0.363636364,30.95454545
Corey Kispert,kispeco01,25,WAS,19,207,65,28,12,3,21,32,7,58,525,76,184,41.3,35,112,31.3,20,24,83.3,41,72,56.9,10.89473684,3.421052632,1.473684211,0.631578947,0.157894737,27.63157895
Luguentz Dort,dortlu01,25,OKC,21,206,94,40,23,16,14,62,29,65,614,69,166,41.6,44,110,40,24,29,82.8,25,56,44.6,9.80952381,4.476190476,1.904761905,1.095238095,0.761904762,29.23809524
Rui Hachimura,hachiru01,26,LAL,17,205,88,29,13,9,11,32,32,56,537,76,161,47.2,26,60,43.3,27,32,84.4,50,101,49.5,12.05882353,5.176470588,1.705882353,0.764705882,0.529411765,31.58823529
Tim Hardaway Jr.,hardati02,32,DET,21,204,39,34,5,0,13,25,3,36,577,66,163,40.5,39,109,35.8,33,37,89.2,27,54,50,9.714285714,1.857142857,1.619047619,0.238095238,0,27.47619048
Aaron Wiggins,wiggiaa01,26,OKC,21,204,79,33,18,6,19,28,24,55,444,80,175,45.7,32,78,41,12,15,80,48,97,49.5,9.714285714,3.761904762,1.571428571,0.857142857,0.285714286,21.14285714
Dalano Banton,bantoda01,25,POR,20,202,47,51,20,12,35,23,7,40,337,72,165,43.6,26,67,38.8,32,48,66.7,46,98,46.9,10.1,2.35,2.55,1,0.6,16.85
