Season,GameID,Date,Game,Player,PlayerID,Team,TeamID,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Jusuf Nurkic,nurkiju01,Phoenix Suns,PHO,0,DAL,15,10,0,2,0,1,33.66666667,3,7,6,12,2,4,1,2,4
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Tyus Jones,jonesty01,Phoenix Suns,PHO,0,DAL,17,2,5,1,0,3,31.11666667,0,2,7,13,3,5,0,0,3
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Royce O'Neale,onealro01,Phoenix Suns,PHO,0,DAL,18,5,2,0,0,0,29.11666667,1,4,7,8,4,4,0,1,2
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Grayson Allen,allengr01,Phoenix Suns,PHO,0,DAL,0,3,0,2,0,1,18.56666667,2,1,0,4,0,3,0,0,0
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Mason Plumlee,plumlma01,Phoenix Suns,PHO,0,DAL,4,2,0,0,0,0,14.31666667,0,2,2,2,0,0,0,2,2
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Josh Okogie,okogijo01,Phoenix Suns,PHO,0,DAL,6,0,0,0,0,1,5.266666667,0,0,2,3,1,2,1,2,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Nikola Jokic,jokicni01,Denver Nuggets,DEN,1,MIA,30,11,14,2,0,5,39.98333333,2,9,11,13,1,1,7,7,2
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Michael Porter Jr.,portemi01,Denver Nuggets,DEN,1,MIA,21,5,4,2,1,2,36.41666667,0,5,8,15,5,10,0,0,2
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Christian Braun,braunch01,Denver Nuggets,DEN,1,MIA,21,6,2,0,1,1,35.23333333,1,5,7,9,3,4,4,6,1
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Jamal Murray,murraja01,Denver Nuggets,DEN,1,MIA,28,4,6,0,0,4,34.91666667,0,4,9,17,4,10,6,6,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Peyton Watson,watsope01,Denver Nuggets,DEN,1,MIA,16,5,1,1,1,0,32.86666667,2,3,7,11,2,3,0,0,3
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Julian Strawther,strawju01,Denver Nuggets,DEN,1,MIA,6,1,0,0,1,2,24.05,0,1,3,8,0,3,0,0,1
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Russell Westbrook,westbru01,Denver Nuggets,DEN,1,MIA,6,4,10,0,1,2,24.03333333,0,4,2,5,2,3,0,0,2
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Hunter Tyson,tysonhu01,Denver Nuggets,DEN,1,MIA,7,2,0,0,0,1,9.3,1,1,3,3,1,1,0,0,2
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Zeke Nnaji,nnajize01,Denver Nuggets,DEN,1,MIA,0,1,0,0,0,0,3.133333333,0,1,0,0,0,0,0,0,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Tyler Herro,herroty01,Miami Heat,MIA,0,DEN,24,7,11,0,0,1,40.21666667,1,6,10,21,4,10,0,0,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Bam Adebayo,adebaba01,Miami Heat,MIA,0,DEN,20,9,4,2,0,3,38.7,2,7,7,18,1,5,5,6,3
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Terry Rozier,roziete01,Miami Heat,MIA,0,DEN,15,3,4,1,0,1,34.75,2,1,6,13,2,3,1,1,1
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Nikola Jovic,jovicni01,Miami Heat,MIA,0,DEN,11,4,2,3,0,1,19.96666667,2,2,4,7,1,2,2,2,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Jimmy Butler,butleji01,Miami Heat,MIA,0,DEN,2,1,2,0,0,1,6.733333333,1,0,1,2,0,1,0,0,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Haywood Highsmith,highsha01,Miami Heat,MIA,0,DEN,15,0,2,0,0,0,35.06666667,0,0,6,10,3,6,0,0,5
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Josh Richardson,richajo01,Miami Heat,MIA,0,DEN,10,2,3,4,0,2,21.06666667,1,1,4,8,2,4,0,0,3
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Duncan Robinson,robindu01,Miami Heat,MIA,0,DEN,20,3,3,1,0,1,20.26666667,0,3,7,12,6,10,0,0,4
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Pelle Larsson,larsspe01,Miami Heat,MIA,0,DEN,5,2,2,0,0,1,14.01666667,0,2,1,1,1,1,2,4,1
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Thomas Bryant,bryanth01,Miami Heat,MIA,0,DEN,0,2,0,0,1,0,7.016666667,0,2,0,1,0,1,0,0,0
2024-25,202411080DEN,11/8/2024,DEN vs MIA,Kel'el Ware,wareke01,Miami Heat,MIA,0,DEN,0,0,0,0,0,0,2.15,0,0,0,1,0,0,0,0,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Trae Young,youngtr01,Atlanta Hawks,ATL,0,DET,35,2,13,2,0,3,41,0,2,11,25,6,12,7,8,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Dyson Daniels,daniedy01,Atlanta Hawks,ATL,0,DET,18,3,2,7,2,2,38.46666667,1,2,7,17,2,6,2,2,4
2024-25,202411080DET,11/8/2024,DET vs ATL,Jalen Johnson,johnsja05,Atlanta Hawks,ATL,0,DET,20,9,1,0,1,1,37.16666667,0,9,8,19,2,6,2,2,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Zaccharie Risacher,risacza01,Atlanta Hawks,ATL,0,DET,7,5,3,0,1,3,25.06666667,4,1,2,7,0,3,3,4,3
2024-25,202411080DET,11/8/2024,DET vs ATL,Clint Capela,capelca01,Atlanta Hawks,ATL,0,DET,7,12,2,0,0,2,18.66666667,7,5,3,10,0,0,1,4,1
2024-25,202411080DET,11/8/2024,DET vs ATL,Garrison Mathews,mathega01,Atlanta Hawks,ATL,0,DET,8,2,1,1,0,0,27.33333333,1,1,2,5,1,4,3,3,0
2024-25,202411080DET,11/8/2024,DET vs ATL,Onyeka Okongwu,okongon01,Atlanta Hawks,ATL,0,DET,8,5,3,0,1,1,16.81666667,2,3,4,7,0,1,0,0,4
2024-25,202411080DET,11/8/2024,DET vs ATL,David Roddy,roddyda01,Atlanta Hawks,ATL,0,DET,3,5,3,1,0,3,15.95,0,5,1,1,1,1,0,0,3
2024-25,202411080DET,11/8/2024,DET vs ATL,Larry Nance Jr.,nancela02,Atlanta Hawks,ATL,0,DET,13,1,2,1,0,0,12.51666667,0,1,5,5,3,3,0,0,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Keaton Wallace,wallake01,Atlanta Hawks,ATL,0,DET,2,0,0,0,1,2,7,0,0,1,1,0,0,0,0,0
2024-25,202411080DET,11/8/2024,DET vs ATL,Cade Cunningham,cunnica01,Detroit Pistons,DET,1,ATL,22,11,13,1,1,7,36.26666667,1,10,8,17,1,4,5,5,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Isaiah Stewart,stewais01,Detroit Pistons,DET,1,ATL,10,11,3,0,1,1,32.63333333,4,7,5,8,0,0,0,0,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Tobias Harris,harrito02,Detroit Pistons,DET,1,ATL,22,6,2,0,3,0,30.56666667,0,6,7,13,5,8,3,4,1
2024-25,202411080DET,11/8/2024,DET vs ATL,Jaden Ivey,iveyja01,Detroit Pistons,DET,1,ATL,18,3,3,1,3,4,29.48333333,2,1,7,13,1,4,3,7,4
2024-25,202411080DET,11/8/2024,DET vs ATL,Tim Hardaway Jr.,hardati02,Detroit Pistons,DET,1,ATL,7,5,4,3,0,3,29.21666667,0,5,2,4,1,2,2,4,3
2024-25,202411080DET,11/8/2024,DET vs ATL,Malik Beasley,beaslma01,Detroit Pistons,DET,1,ATL,22,2,1,0,0,2,33.53333333,2,0,8,14,3,9,3,5,2
2024-25,202411080DET,11/8/2024,DET vs ATL,Simone Fontecchio,fontesi01,Detroit Pistons,DET,1,ATL,11,5,1,1,0,1,19.56666667,1,4,3,6,1,4,4,5,1
2024-25,202411080DET,11/8/2024,DET vs ATL,Paul Reed,reedpa01,Detroit Pistons,DET,1,ATL,5,1,0,1,0,2,15.08333333,0,1,2,6,1,1,0,0,2
